origin_country,destination_country,course_name,field_of_study,year_of_enrollment,scholarship_received,enrollment_reason,graduation_year,placement_status,placement_country,starting_salary_usd,gpa_or_score,visa_status,post_graduation_visa,language_proficiency_test,test_score,placement_success
1,5,4,3,2021,0,0,2024,1,5,36416,3.92,5,4,3,7.8,1
8,2,3,4,2023,1,1,2024,1,2,32956,2.6,4,1,2,7.9,1
4,0,10,0,2019,0,4,2020,0,10,0,2.72,0,0,4,0.0,0
7,8,5,7,2021,1,3,2023,1,8,50892,3.71,2,2,4,0.0,1
6,2,2,4,2020,1,2,2021,1,2,54790,2.96,2,1,2,8.2,1
7,6,11,3,2022,1,1,2023,0,10,0,2.69,1,0,3,7.4,0
7,8,0,4,2019,1,3,2021,0,10,0,2.99,4,0,0,5.6,0
7,8,9,4,2023,0,1,2024,1,8,98247,3.53,3,4,1,5.4,1
3,5,7,1,2021,1,0,2024,1,5,118106,3.2,3,4,4,0.0,1
2,3,5,1,2023,0,3,2025,1,3,78324,2.65,1,3,4,0.0,1
6,7,5,0,2023,0,0,2026,0,10,0,3.02,2,0,4,0.0,0
3,8,14,2,2020,1,1,2022,1,8,143194,2.78,3,1,1,6.5,1
7,3,3,1,2020,0,0,2022,1,3,89534,3.47,0,3,3,6.7,1
8,9,14,3,2021,1,1,2024,0,10,0,2.91,4,1,3,6.5,0
4,7,12,2,2020,1,0,2021,0,10,0,3.0,4,3,0,8.1,0
6,9,9,7,2022,0,2,2023,1,9,87234,3.0,0,0,1,6.0,1
7,8,5,7,2023,1,3,2024,1,8,126686,2.54,4,1,0,6.1,1
4,8,0,3,2023,1,2,2025,0,10,0,3.44,4,4,2,7.8,0
6,5,8,0,2019,0,3,2021,0,10,0,3.83,4,2,1,5.2,0
5,1,8,5,2022,0,1,2024,0,10,0,3.98,4,1,2,8.5,0
8,0,0,5,2022,0,2,2024,1,0,138947,2.95,3,1,1,6.0,1
0,6,0,1,2019,1,4,2020,1,6,71543,2.74,2,1,1,6.5,1
2,8,10,2,2020,0,3,2023,1,8,39364,2.56,5,2,4,0.0,1
0,1,13,2,2019,0,2,2022,1,1,117865,3.76,1,3,0,7.2,1
7,5,1,4,2020,0,0,2022,1,5,78449,2.67,4,3,0,7.9,1
2,1,12,0,2019,1,2,2022,0,10,0,2.92,5,3,3,8.2,0
3,4,12,5,2020,0,3,2022,1,4,77211,2.92,4,1,2,7.3,1
1,8,8,1,2023,1,4,2024,1,8,130384,3.78,3,2,4,0.0,1
0,2,2,5,2022,0,3,2023,1,2,48936,2.58,4,0,1,7.4,1
3,6,5,3,2020,0,3,2023,1,6,97998,2.54,3,1,1,5.8,1
5,8,14,3,2020,0,3,2023,1,8,81762,3.8,1,4,0,6.9,1
2,3,8,2,2022,0,4,2025,1,3,126333,2.52,0,3,4,0.0,1
6,9,9,6,2021,0,1,2023,1,9,131755,2.8,0,4,2,8.3,1
6,1,13,7,2019,1,3,2021,1,1,77843,3.11,2,2,4,0.0,1
1,2,5,1,2020,1,1,2022,0,10,0,3.15,1,0,1,6.3,0
9,7,5,6,2020,0,4,2023,0,10,0,3.91,3,2,2,7.8,0
7,8,4,6,2021,1,0,2023,1,8,56895,3.22,1,2,4,0.0,1
6,4,12,7,2020,0,3,2023,1,4,147376,3.17,3,0,3,7.7,1
0,3,10,1,2021,0,0,2022,0,10,0,3.85,4,4,0,8.5,0
2,4,7,4,2022,0,4,2025,1,4,112677,3.34,5,3,1,7.0,1
1,3,0,0,2021,1,2,2023,1,3,138648,2.77,2,3,2,8.2,1
7,8,6,4,2023,1,4,2025,0,10,0,3.6,4,0,4,0.0,0
9,7,11,5,2020,1,4,2023,1,7,72107,2.54,4,2,1,6.1,1
4,7,10,4,2023,0,0,2025,1,7,112487,2.72,2,0,1,5.5,1
0,7,3,7,2021,0,2,2023,1,7,96903,3.63,1,1,1,7.9,1
6,9,9,0,2019,1,1,2021,0,10,0,3.08,4,1,4,0.0,0
4,9,6,0,2021,1,4,2022,0,10,0,3.37,4,0,4,0.0,0
8,3,13,6,2022,0,1,2025,0,10,0,2.6,4,4,4,0.0,0
3,5,4,7,2019,0,2,2022,1,5,129074,2.74,4,3,4,0.0,1
6,8,3,4,2019,0,2,2020,0,10,0,3.08,3,1,4,0.0,0
6,3,8,7,2022,1,0,2024,1,3,34817,3.1,0,0,3,5.3,1
6,1,3,0,2020,0,3,2021,0,10,0,3.93,2,4,3,6.1,0
6,9,14,3,2022,1,3,2025,1,9,133553,3.83,2,0,2,7.9,1
7,2,12,7,2019,1,0,2022,0,10,0,3.11,3,0,2,7.4,0
3,1,9,7,2019,1,4,2021,0,10,0,3.32,0,4,0,7.4,0
6,3,1,5,2022,1,1,2025,1,3,83516,3.63,5,1,3,5.5,1
6,1,8,5,2023,1,2,2025,0,10,0,3.06,2,2,3,7.5,0
4,9,5,5,2023,0,2,2025,0,10,0,3.47,0,1,0,7.0,0
5,1,5,2,2020,0,1,2022,0,10,0,3.34,5,4,0,6.1,0
4,3,7,1,2023,0,4,2026,1,3,84161,3.02,1,4,4,0.0,1
6,0,0,3,2020,1,2,2022,0,10,0,2.87,0,0,3,7.5,0
9,5,5,2,2022,1,2,2023,1,5,51363,3.01,5,2,2,7.2,1
